SeqNo,Engagement,Focus,Excitement,Frustration
1,0.780629,0.658544,0.6545488,0.3258745
2,0.780629,0.658544,0.6545488,0.3258745
3,0.780629,0.658544,0.6545488,0.3258745
4,0.780629,0.658544,0.6545488,0.3258745
5,0.780629,0.658544,0.6545488,0.3258745
6,0.780629,0.658544,0.6545488,0.3258745
7,0.780629,0.658544,0.6545488,0.3258745
8,0.780629,0.658544,0.6545488,0.3258745
9,0.780629,0.658544,0.6545488,0.3258745
10,0.780629,0.658544,0.6545488,0.3258745
11,0.780629,0.658544,0.6545488,0.3258745
12,0.780629,0.658544,0.6545488,0.3258745
13,0.780629,0.658544,0.6545488,0.3258745
14,0.780629,0.658544,0.6545488,0.3258745
15,0.780629,0.646588,0.6545488,0.3258745
16,0.780629,0.646588,0.6361542,0.3258745
17,0.793565,0.646588,0.6361542,0.3258745
18,0.793565,0.646588,0.6361542,0.3258745
19,0.793565,0.646588,0.6361542,0.3258745
20,0.793565,0.646588,0.6361542,0.3258745
21,0.793565,0.646588,0.6361542,0.3258745
22,0.793565,0.646588,0.6361542,0.3258745
23,0.793565,0.646588,0.6361542,0.3258745
24,0.793565,0.646588,0.6361542,0.2358844
25,0.793565,0.646588,0.6361542,0.2358844
26,0.793565,0.646588,0.6361542,0.2358844
27,0.793565,0.646588,0.6361542,0.2358844
28,0.793565,0.646588,0.6361542,0.2358844
29,0.793565,0.646588,0.6361542,0.2358844
30,0.793565,0.646588,0.6361542,0.2358844
31,0.793565,0.646588,0.6361542,0.2358844
32,0.793565,0.646588,0.6361542,0.2358844
33,0.793565,0.646588,0.6361542,0.2358844
34,0.793565,0.646588,0.6361542,0.2358844
35,0.793565,0.646588,0.6361542,0.2358844
36,0.793565,0.646588,0.6361542,0.2358844
37,0.793565,0.646588,0.6361542,0.2358844
38,0.793565,0.646588,0.6361542,0.2358844
39,0.793565,0.646588,0.6361542,0.2358844
40,0.793565,0.646588,0.6361542,0.2358844
41,0.793565,0.646588,0.6361542,0.2358844
42,0.793565,0.646588,0.6361542,0.2358844
43,0.793565,0.646588,0.6361542,0.2358844
44,0.793565,0.646588,0.6361542,0.2358844
45,0.793565,0.646588,0.6361542,0.2358844
46,0.793565,0.646588,0.6361542,0.2358844
47,0.793565,0.646588,0.6361542,0.2358844
48,0.793565,0.646588,0.6361542,0.2358844
49,0.793565,0.646588,0.6361542,0.2358844
50,0.793565,0.646588,0.6361542,0.2358844
51,0.793565,0.646588,0.6361542,0.2358844
52,0.793565,0.646588,0.6361542,0.2358844
